name,category,price,description,spicy_level,popular
老醋花生米,爽口凉菜,12,酸甜适口，下酒神器,0,false
刀拍黄瓜,爽口凉菜,10,清脆爽口，解腻首选,1,false
红油猪耳,爽口凉菜,22,红油拌之，脆骨爽脆,2,true
皮蛋豆腐,爽口凉菜,14,嫩滑爽口，清热去火,0,false
酱驴肉(盘),爽口凉菜,48,秘制卤肉，切片装盘,0,true
凉拌土豆丝,爽口凉菜,8,酸辣开胃，口感脆嫩,1,false
小葱拌豆腐,爽口凉菜,8,一清二白，原汁原味,0,false
果仁菠菜,爽口凉菜,12,营养丰富，清淡爽口,0,false
东北大拉皮,爽口凉菜,16,麻酱浓郁，Q弹爽滑,0,false
老虎菜,爽口凉菜,10,香菜青椒，辛辣开胃,2,false
酱牛肉,爽口凉菜,58,纹理清晰，肉质紧实,0,false
泡椒凤爪,爽口凉菜,18,酸辣爽口，越嚼越香,2,false
精品纯瘦驴肉火烧,传统主食,12,肉香浓郁，解馋不腻,0,true
肥瘦相间驴肉火烧,传统主食,10,经典搭配，香润口,0,true
驴板肠火烧,传统主食,14,口感Q弹，越嚼越香,0,false
焖子火烧,传统主食,5,软糯咸香，经济实惠,0,false
青椒驴肉火烧,传统主食,11,青椒清脆，解腻提味,0,false
特制全福火烧,传统主食,18,肉肠焖子，一口满足,0,true
老汤火烧皮,传统主食,2,酥脆掉渣，面香浓郁,0,false
米饭,传统主食,2,五常大米，粒粒分明,0,false
馒头,传统主食,1,手工大馒头，麦香,0,false
鸡蛋炒面,传统主食,12,锅气十足，家常味道,0,false
驴肉炒饭,传统主食,18,驴肉丁炒制，香气扑鼻,0,false
熘肝尖,热菜小炒,28,大火爆炒，肝尖滑嫩,0,false
京酱肉丝,热菜小炒,32,酱香浓郁，老少皆宜,0,true
素炒饼,热菜小炒,10,蒜香扑鼻，量大管饱,0,false
葱爆羊肉,热菜小炒,38,葱香肉嫩，回味无穷,0,false
宫保鸡丁,热菜小炒,26,酸甜微辣，花生酥脆,1,false
酸辣土豆丝,热菜小炒,12,家常经典，酸辣下饭,2,false
鱼香肉丝,热菜小炒,24,酸甜微辣，下饭神器,1,false
软炸里脊,热菜小炒,28,外酥里嫩，椒盐蘸食,0,false
地三鲜,热菜小炒,18,茄子土豆青椒，鲜美,0,false
木须肉,热菜小炒,22,鸡蛋木耳，营养均衡,0,false
蒜苔炒肉,热菜小炒,20,家常味道，超级下饭,0,false
孜然羊肉,热菜小炒,42,孜然浓郁，羊肉鲜嫩,1,false
回锅肉,热菜小炒,32,肥而不腻，川味经典,2,false
尖椒干豆腐,热菜小炒,16,东北特色，滑嫩入味,1,false
全驴杂汤,汤粥面食,15,汤色乳白，鲜美无比,0,true
小米粥,汤粥面食,2,养胃金黄，火烧绝配,0,false
紫菜蛋花汤,汤粥面食,6,清淡鲜美，饭后一碗,0,false
西红柿鸡蛋汤,汤粥面食,8,酸甜开胃，家常味道,0,false
驴肉馄饨,汤粥面食,12,皮薄馅大，汤鲜味美,0,false
疙瘩汤,汤粥面食,10,面疙瘩劲道，汤汁浓稠,0,false
北冰洋汽水,酒水饮料,5,老北京风味，气足沙口,0,false
雪花啤酒,酒水饮料,6,勇闯天涯，清凉一夏,0,false
红星二锅头,酒水饮料,18,纯粮酿造，度数适中,0,false
可口可乐,酒水饮料,3,快乐肥宅水,0,false
酸梅汤,酒水饮料,6,冰镇解暑，酸甜解腻,0,false
王老吉,酒水饮料,5,怕上火喝王老吉,0,false
牛栏山陈酿,酒水饮料,20,白瓶二锅头，够劲,0,false
鲜榨玉米汁,酒水饮料,18,香甜浓郁，热饮推荐,0,false
江小白,酒水饮料,25,简单纯粹，适合小酌,0,false
